Unique accounts	Number of txs	Sum Ethers	Average
0xae8fcdb18902cce902bcb7372c2ea0a8e20a6a6b	2	22.12	
0x6a63fc89abc7f36e282d80787b7b04afd6553e71	2	12	
0xaf06c7b30087b2e223c497635cdc8c5147cc8349	2	0.395	
0x6b37c45c703a29c43817c1a5b4677c8c1de4020c	2	2.0066	
0xafc3ea83ac2d4df63adf87a155e4fde7a4992320	2	0.483473191	
0x6b91139424b37f629bf24c4777a59790625d20d8	2	1.117382366	
0xb3b550a48d25fc2f2a543f58f83aa910ac2ac598	2	0.6	
0x6c2d1d29c23264b41d0c531f4cfe3fc1dc0aed51	2	2.65	
0xb591b7e00109c3f7213b3914a0a268ee79669f6c	2	2	
0x1667994e0d92e48513a28bdbea76d2dcc8131160	2	6	
0xb696ae4e8bb10a342877f2991c32c3d2db3171e0	2	4	
0x6d309abeae08273fa39f67a67c128bb4e55621d4	2	1.4	
0x266da618befdd143c336633f9f7b1fc001c161bb	2	10.41558284	
0x6f34f686bdb36f2b43b6cab4ea4eaf6fda02894c	2	4	
0xbbd2e65afd28e73cab552ad55b972a016f98dfa4	2	10	
0x6f7995b4cae23afb0afab7f3a1fa1b97c0908240	2	2	
0xbd313d514ecd15a0224da4de050c79e2cd8382ab	2	1.5	
0x700df3aca995ceaea4966ad3f49ddb785a78a39b	2	5	
0xc1913f681dac6675f5793b5cd6cd33db12ddb14a	2	2	
0x70133d5413e281425d8e0adccde756909e53418b	2	10	
0xc27e668b74d8845d4b8a09ec8f2550b10594947e	2	5	
0x7132bfa4495821ab8e446f8f1714c2aecc837f08	2	20.499	
0xc2ec3593578382c7e8988720815feebd4038193e	2	85.44838879	
0x00089aa4d3f13d18566ac992e3145ca0a594e2de	2	15.8	
0xc81e20cfff5848a980b8a056977dc1566434c82d	2	4.48	
0x72b748de2433ca95411514dbd15e53ade3ca8c96	2	0.7	
0xcd3bd5418908f223c067d61dbf08d6249ea9e448	2	1.2	
0xf414c310baba710af3314e4bb26a0c863e79c107	2	2	
0xced6876fd01781078402312539c3d09b87f05c19	2	1.5	
0xf9a2499f5b479866ca4ee197d2dbdcc27d061251	2	0.45	
0xd02d9892106d1e6b3c53c9a0c0d4313d75aa6dcf	2	0.9845	
0xfb3306263a545c38d9aeb776b2c433c1d8251aea	2	10.0040902	
0xd1333fb4413626f024f56f51f8ee6dad222f7eff	2	2.3	
0x16918cdd8d9240c1101a44ae476223a5d3ea937e	2	0.384	
0x00e5e4294644db9ab383481782869a928affb479	2	0.412213765	
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98	2	4.25711415	
0xd5641dbeb664448c3382c118938c713e724fd6bb	2	6.75	
0x0179e021f5580aa255cf138ed54ac3af3829008c	2	14.88292905	
0xd5c80380f25ff8dafb25da657deea25e11dd70e2	2	1.38266578	
0xf224af2a9daa8a176624d31252eb820ca5b7b617	2	50	
0xd89f339eabe14036597c6232add7a0cf849a602a	2	3.38	
0x77e44f7f8c4bf43d6557e0d4747c2ada9324204b	2	5.14	
0xda41fdab3b3b52366bd777db39b7ac3b3186f7a7	2	0.171078168	
0x78000aac76d9c140124f53df7046727dfee9e8fd	2	3	
0xdb5b8230077b82634607e3ef2135024d0e24377b	2	10.5	
0x781217c1948b26b221ad3dd34c7b5344d88b6daa	2	0.145267271	
0xe0152b19d36f171d5d73bdfb6903e85d88473718	2	30	
0x79b51f24e2b43fe198d105b24939104c063d306d	2	2.2	
0xe19e08d1600f0548ac4cb439f4f1e560b09555eb	2	3.005149763	
0x79e576c0da637dc6cc4c637728d910cdc544b95f	2	1.978879799	
0xe2350c901e3ea7acff25bfc3e3963618ce0354d7	2	0.483	
0x1b84e6410640233715a968b92d9770b89546b28f	2	20	
0xe448d52056802e715b19ee224aee5e613244743b	2	2	
0x7aad57211292c3d43ec1b081d8bab382d76e6c4c	2	19	
0xe5f87379b120d0b22d8246ee72456f511165fab3	2	16.996	
0x1c7af2ab5534387083436e39da3746a55c56b582	2	0.044559	
0xe7679523f6a9de3a79246d3cefc92169d0989f8f	2	10	
